id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Tiara;Gutkowski;Jaeden.Reichert@gmail.com;certainly;2025-03-18T01:04:25;7882;25623
2;Russell;Walsh;Cydney_Dickens@hotmail.com;expense while;2025-03-18T06:00:35;4507;16929
3;Dee;Stroman;Magnus_Daniel@hotmail.com;garage annually behest;2025-03-17T17:23:42;18786;11244
4;Madeline;Harris-Bergstrom;Riley74@yahoo.com;aha up;2025-03-18T01:59:44;29482;16902
5;Otto;VonRueden;Darrel.Little85@gmail.com;barring pinion which;2025-03-17T09:46:39;15693;15408
6;Tyree;Gislason;Etha_Wiegand35@yahoo.com;swordfish;2025-03-18T04:13:56;4536;8864
7;Janae;Kshlerin;Connie39@hotmail.com;wrathful prime;2025-03-17T11:10:56;7433;27489
8;Rowena;Metz;Natasha_Willms@yahoo.com;knickers sleet righteously;2025-03-17T10:57:14;4537;8824
9;Jadon;Hintz;Adrienne_Schowalter@gmail.com;modulo gee outlaw;2025-03-17T06:54:07;24794;27411
10;Erich;Zboncak;Odie38@yahoo.com;uneven huge transom;2025-03-18T02:39:16;11179;25710
